NAME	B cells	Ductal cells 1	Myeloid & Macrophage	T and NK cells	Perivascular cells	Acinar cells	Activated DC	Fenestrated EC	Mast cells	pDCs	Plasma cells	myCAF	ICAF
CSTA	2.080 	23.219 	53.299 	2.130 	1.089 	7.921 	61.302 	1.084 	1.944 	1.996 	5.047 	4.398 	3.909 
MS4A6A	10.204 	2.365 	123.152 	6.698 	7.241 	34.104 	19.744 	7.045 	8.264 	63.771 	15.574 	4.394 	5.150 
ETS1	15.458 	4.259 	1.064 	34.623 	12.109 	1.429 	4.246 	39.057 	1.644 	5.331 	1.174 	4.387 	7.753 
TRAFD1	4.037 	1.683 	3.061 	4.213 	4.184 	3.058 	37.268 	1.565 	3.236 	4.594 	1.907 	4.353 	4.230 
ISG20	71.597 	54.948 	8.223 	62.969 	5.930 	7.514 	15.560 	11.114 	1.147 	26.759 	116.759 	4.337 	7.069 
DMKN	1.067 	12.722 	1.000 	1.081 	1.000 	40.032 	1.001 	1.000 	4.823 	1.008 	3.644 	4.337 	2.954 
RCAN2	1.320 	1.000 	1.014 	1.394 	30.953 	1.124 	1.044 	5.189 	1.315 	1.063 	1.038 	4.309 	2.468 
RASL12	1.000 	1.000 	1.000 	1.000 	20.921 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.271 	2.118 
CELA3A	1.113 	1.231 	7.772 	5.281 	1.985 	366.767 	6.296 	4.112 	9.484 	1.026 	11.586 	4.247 	1.260 
FAM162B	1.088 	1.000 	1.000 	1.117 	17.937 	1.045 	1.006 	1.000 	1.081 	1.021 	1.003 	4.245 	1.000 
GZMA	4.191 	1.066 	3.119 	85.083 	3.789 	5.609 	4.874 	1.483 	2.146 	1.769 	8.573 	4.239 	1.114 
RPS6KA4	4.053 	9.313 	11.399 	4.707 	4.526 	3.853 	9.860 	5.111 	4.434 	35.627 	3.142 	4.215 	3.901 
SNX11	5.104 	1.991 	4.502 	1.622 	3.825 	4.915 	25.046 	3.893 	5.704 	1.000 	2.016 	4.200 	1.978 
SERINC2	1.118 	57.839 	2.268 	1.165 	1.000 	11.580 	5.445 	3.526 	7.703 	4.896 	1.911 	4.184 	1.000 
CKB	1.000 	26.184 	5.959 	1.000 	22.599 	14.102 	34.783 	1.000 	1.000 	1.000 	3.864 	4.160 	8.511 
SERPINI1	3.935 	1.018 	1.051 	1.833 	23.443 	2.584 	1.979 	3.686 	3.279 	2.104 	22.783 	4.150 	1.298 
NR2F2-AS1	1.000 	1.000 	1.000 	1.000 	18.619 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.121 	1.626 
SDPR	1.519 	1.009 	1.053 	1.645 	10.939 	1.380 	2.044 	55.360 	42.362 	1.209 	1.074 	4.121 	3.456 
ADAM19	12.979 	1.000 	5.372 	5.636 	3.080 	1.253 	20.286 	3.662 	1.112 	37.267 	9.593 	4.109 	4.460 
CCL4	8.033 	3.046 	42.022 	71.777 	6.213 	26.809 	31.874 	5.728 	28.275 	15.082 	19.772 	4.048 	6.554 
MYH11	2.577 	1.075 	1.317 	2.639 	67.189 	1.937 	4.786 	1.274 	2.271 	1.777 	1.439 	4.040 	1.113 
BIRC3	95.478 	42.226 	11.873 	70.690 	1.697 	20.527 	196.683 	6.987 	50.169 	4.404 	41.137 	4.039 	8.292 
TSPAN8	1.000 	180.892 	1.694 	1.000 	2.199 	6.023 	2.134 	1.147 	6.274 	1.000 	6.959 	4.023 	16.506 
CPB1	1.836 	1.362 	7.070 	5.467 	4.477 	343.891 	6.527 	2.152 	5.842 	1.332 	10.501 	4.022 	5.101 
CCL19	1.459 	1.003 	1.037 	1.554 	9.631 	1.390 	83.216 	1.020 	1.456 	1.125 	1.064 	4.019 	1.011 
KLF13	10.759 	4.709 	3.189 	9.148 	7.204 	2.142 	6.546 	5.746 	2.520 	13.803 	46.471 	4.018 	4.179 
ENPEP	1.000 	1.000 	1.000 	1.000 	35.635 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.004 	9.570 
LIMS2	4.760 	1.000 	1.000 	1.000 	4.153 	1.000 	1.000 	22.157 	1.000 	1.000 	1.000 	3.992 	1.000 
TBX2	1.000 	1.000 	1.000 	1.000 	23.953 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.990 	1.000 
CERS6	1.075 	6.358 	5.732 	1.102 	2.031 	4.156 	34.238 	1.115 	5.734 	16.650 	1.008 	3.975 	3.779 
HMOX1	6.167 	2.079 	30.350 	2.401 	1.979 	11.298 	24.334 	4.399 	3.486 	1.000 	6.302 	3.975 	9.318 
PTPRF	1.000 	13.099 	1.000 	1.000 	3.894 	31.454 	7.647 	1.000 	1.000 	1.000 	1.000 	3.964 	2.384 
ARHGAP24	44.716 	1.059 	11.209 	1.000 	4.574 	7.941 	5.810 	2.571 	1.000 	10.635 	1.421 	3.959 	5.519 
SLC26A2	3.235 	1.293 	3.279 	1.000 	3.853 	1.000 	3.397 	12.939 	40.104 	4.577 	4.044 	3.921 	4.229 
7SK	6.797 	23.115 	4.335 	10.217 	5.323 	57.625 	1.008 	10.248 	4.608 	3.733 	13.245 	3.887 	4.747 
DUSP4	1.000 	31.645 	5.589 	48.460 	2.007 	15.625 	59.717 	2.816 	4.950 	4.590 	4.062 	3.878 	3.726 
APOBEC3G	17.095 	1.316 	6.353 	49.310 	4.272 	5.528 	26.164 	2.007 	12.727 	10.054 	16.127 	3.873 	2.316 
CCDC3	2.106 	1.055 	1.193 	2.263 	31.042 	1.794 	1.409 	16.438 	2.101 	1.646 	1.382 	3.866 	1.067 
RSAD2	1.000 	6.567 	1.000 	1.000 	1.000 	1.000 	1.000 	1.402 	13.189 	1.000 	1.000 	3.861 	1.000 
HCST	21.065 	4.616 	74.295 	109.059 	7.266 	24.521 	22.053 	6.246 	25.001 	61.305 	17.573 	3.844 	4.875 
CADM1	1.917 	1.196 	6.492 	3.684 	8.214 	2.601 	2.008 	5.725 	1.909 	1.398 	27.386 	3.806 	1.061 
CSF1	1.878 	1.063 	1.955 	5.663 	12.778 	2.080 	1.249 	5.955 	37.388 	1.378 	1.235 	3.767 	17.944 
HAS2	1.411 	1.758 	1.026 	1.463 	1.029 	1.211 	1.058 	1.003 	3.551 	1.096 	1.051 	3.745 	62.913 
MAOB	1.000 	5.983 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	64.415 	1.000 	1.000 	3.743 	3.936 
TTC39C	5.193 	3.955 	4.189 	23.058 	1.685 	3.889 	1.000 	3.771 	1.000 	15.039 	1.946 	3.743 	7.259 
MSRA	5.838 	7.828 	11.218 	3.590 	4.259 	5.423 	9.780 	7.031 	41.249 	5.579 	11.512 	3.709 	1.929 
EVI2B	70.335 	1.697 	49.871 	49.168 	1.838 	13.532 	12.854 	1.000 	28.683 	28.419 	48.459 	3.670 	1.798 
HSPB8	1.000 	1.000 	1.000 	1.000 	11.264 	1.000 	1.000 	1.888 	1.000 	1.000 	1.000 	3.657 	33.181 
ITIH5	1.077 	1.000 	1.000 	1.111 	9.245 	1.050 	1.003 	4.490 	1.075 	1.020 	1.632 	3.653 	29.756 
QRSL1	29.934 	1.568 	3.908 	4.576 	2.172 	1.000 	3.303 	2.505 	1.000 	7.241 	2.410 	3.642 	1.999 
CAMK4	1.000 	1.000 	1.000 	18.374 	1.000 	1.000 	2.044 	1.000 	1.000 	1.000 	1.000 	3.632 	1.000 
SYVN1	12.023 	5.410 	3.924 	3.828 	3.725 	8.715 	2.104 	3.766 	1.806 	4.038 	31.967 	3.612 	7.522 
C1orf162	31.114 	1.921 	72.826 	14.055 	2.143 	13.347 	9.544 	2.030 	73.688 	19.062 	12.570 	3.581 	2.047 
RSPO3	1.008 	1.000 	1.000 	1.017 	1.000 	1.002 	1.000 	3.618 	1.008 	1.000 	1.000 	3.573 	25.756 
F13A1	1.000 	1.000 	23.719 	1.000 	1.000 	3.891 	4.677 	1.327 	3.740 	4.338 	2.086 	3.565 	1.640 
FUZ	1.000 	5.477 	2.850 	1.000 	4.873 	4.520 	2.302 	1.507 	9.549 	30.496 	3.192 	3.552 	2.028 
SLC15A4	6.661 	3.188 	4.780 	1.037 	3.605 	2.645 	13.183 	2.038 	2.170 	45.525 	1.840 	3.523 	2.753 
TRAF5	24.911 	1.099 	1.879 	11.606 	6.082 	5.758 	10.657 	1.708 	5.915 	1.223 	1.127 	3.516 	2.885 
ACAP1	66.211 	2.092 	10.875 	82.543 	1.615 	7.745 	8.834 	1.999 	24.070 	31.512 	23.599 	3.506 	2.140 
CTRC	2.621 	1.137 	4.251 	3.203 	2.071 	328.375 	5.932 	6.198 	2.442 	1.769 	8.810 	3.499 	1.120 
ITGA2	1.249 	30.405 	1.008 	1.311 	1.002 	4.180 	1.034 	5.537 	1.240 	1.052 	1.031 	3.478 	1.001 
EFHD1	1.000 	1.000 	1.000 	1.000 	27.303 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.423 	6.424 
PTPRCAP	140.615 	2.741 	6.889 	126.008 	5.655 	13.878 	7.266 	3.477 	10.798 	73.788 	76.161 	3.422 	1.263 
CD4	1.613 	1.048 	32.486 	12.733 	9.943 	8.672 	21.584 	3.590 	3.812 	54.582 	4.279 	3.395 	1.674 
OSR1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.321 	32.462 
SNX29P2	33.988 	1.378 	3.344 	4.702 	2.722 	1.651 	2.007 	4.475 	5.788 	12.182 	3.494 	3.318 	3.914 
TOMM34	4.313 	3.330 	2.862 	2.323 	2.387 	1.944 	22.541 	4.677 	1.000 	1.000 	1.000 	3.282 	4.151 
FAM49A	11.262 	1.000 	18.218 	1.022 	2.397 	2.108 	60.292 	1.662 	7.048 	7.446 	10.803 	3.281 	5.091 
HAS1	1.410 	1.001 	1.539 	1.465 	4.970 	1.211 	1.057 	1.009 	1.406 	1.105 	1.055 	3.275 	201.615 
RAC2	97.633 	7.917 	26.881 	82.138 	2.208 	13.079 	6.876 	3.692 	101.114 	47.122 	38.249 	3.271 	3.240 
S100A8	12.757 	2.171 	97.428 	7.567 	7.163 	13.328 	8.548 	6.934 	4.200 	5.106 	22.289 	3.263 	10.756 
TNFAIP2	1.772 	5.649 	13.143 	1.908 	4.254 	5.818 	58.873 	6.240 	4.314 	3.739 	11.182 	3.254 	19.727 
MALL	1.000 	24.688 	1.000 	1.000 	1.000 	1.000 	2.205 	31.498 	3.614 	1.000 	1.000 	3.218 	4.379 
PLAC8	55.709 	61.058 	23.195 	20.588 	1.000 	4.655 	3.394 	1.363 	1.000 	148.595 	9.959 	3.215 	1.025 
PI16	1.644 	1.022 	1.051 	1.769 	1.041 	1.383 	1.114 	4.056 	1.777 	1.255 	1.111 	3.191 	49.024 
RP11-620J15.3	2.827 	1.001 	1.967 	4.258 	6.123 	3.164 	1.050 	3.472 	26.784 	6.903 	6.140 	3.186 	1.639 
TACSTD2	1.687 	99.232 	6.420 	1.783 	1.041 	44.718 	3.337 	1.037 	4.310 	1.230 	4.110 	3.178 	1.028 
GPRC5A	1.000 	63.032 	1.000 	1.000 	2.252 	1.000 	2.941 	3.709 	7.006 	1.000 	2.901 	3.168 	80.070 
IRF8	75.653 	1.458 	23.328 	3.347 	1.860 	9.432 	67.341 	2.921 	1.000 	204.787 	3.835 	3.127 	3.225 
ACOT7	2.153 	6.344 	2.660 	2.967 	1.676 	2.099 	11.951 	3.449 	32.123 	10.980 	1.521 	3.119 	1.084 
GPR116	1.451 	1.003 	1.035 	1.508 	16.370 	1.255 	1.064 	38.855 	1.446 	1.117 	1.058 	3.075 	1.005 
NDUFA4L2	1.004 	1.000 	1.000 	1.014 	118.308 	1.001 	1.779 	1.000 	3.944 	1.000 	3.293 	3.070 	1.857 
HLA-DMB	96.066 	6.854 	97.433 	9.943 	4.962 	31.616 	40.059 	11.250 	4.239 	54.951 	15.526 	3.066 	1.379 
ARRB2	10.132 	3.790 	45.902 	21.781 	4.358 	12.477 	64.782 	6.055 	28.597 	10.888 	6.188 	3.063 	1.325 
FCGR3A	5.841 	2.694 	77.131 	8.040 	2.209 	20.836 	4.317 	4.737 	1.416 	2.166 	10.951 	3.049 	2.068 
RASGRP2	31.861 	1.000 	6.664 	12.266 	12.693 	2.576 	12.410 	1.423 	5.083 	18.511 	2.987 	3.018 	1.385 
ANGPT1	1.000 	1.000 	1.000 	1.000 	18.647 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.001 	3.355 
TXNDC11	6.343 	6.231 	7.551 	8.289 	3.858 	10.276 	13.893 	7.482 	10.666 	10.170 	55.562 	2.980 	6.640 
GALC	1.671 	3.690 	7.141 	4.848 	1.994 	2.383 	4.863 	1.439 	31.700 	4.470 	2.937 	2.966 	4.029 
NQO1	1.000 	67.040 	1.228 	1.000 	3.465 	1.000 	3.466 	14.309 	5.272 	1.000 	1.000 	2.944 	5.430 
KRT7	1.000 	143.689 	1.412 	1.000 	1.141 	43.093 	1.000 	1.000 	1.000 	1.000 	3.391 	2.941 	1.000 
IL1B	2.805 	1.000 	42.575 	2.914 	1.922 	12.380 	13.232 	2.382 	1.000 	4.104 	6.726 	2.914 	4.885 
LMF1	1.043 	1.758 	2.096 	1.054 	3.127 	2.027 	1.000 	1.443 	6.194 	4.167 	22.039 	2.896 	6.077 
RASIP1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.319 	27.836 	1.000 	1.000 	1.000 	2.889 	1.935 
REG1B	3.950 	1.672 	5.185 	5.079 	3.215 	337.597 	3.311 	1.763 	7.786 	1.000 	12.143 	2.887 	2.047 
ACSL4	3.471 	1.377 	10.269 	4.721 	2.728 	1.036 	14.249 	6.321 	47.428 	3.641 	5.406 	2.886 	25.322 
CD2AP	4.099 	26.520 	5.724 	4.116 	2.054 	5.889 	1.748 	6.842 	5.123 	34.204 	4.819 	2.839 	2.049 
TSPAN13	26.819 	34.319 	1.459 	1.031 	1.720 	20.663 	35.497 	32.653 	5.001 	114.425 	25.090 	2.835 	1.000 
KDM2B	6.903 	1.026 	7.426 	5.455 	2.124 	3.482 	41.940 	3.968 	1.000 	7.720 	3.888 	2.820 	2.586 
SERPINA1	6.270 	37.776 	87.312 	4.691 	2.038 	64.054 	31.440 	4.980 	1.579 	5.366 	17.379 	2.812 	5.209 
CD34	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	52.264 	1.000 	1.000 	1.000 	2.783 	30.271 
PIK3R3	2.182 	1.635 	1.383 	2.625 	3.404 	1.980 	2.304 	38.812 	8.647 	1.668 	2.915 	2.777 	1.165 
SLC7A7	6.041 	9.793 	29.010 	2.677 	1.233 	6.149 	12.177 	4.471 	2.248 	2.011 	10.448 	2.777 	3.818 
ANPEP	1.432 	26.634 	14.633 	1.478 	2.052 	88.089 	6.764 	1.003 	1.414 	1.101 	1.835 	2.763 	8.781 
LCP2	3.997 	1.035 	23.972 	19.477 	1.630 	3.674 	1.186 	3.614 	10.848 	1.941 	5.536 	2.735 	4.154 
CD3D	5.846 	2.151 	4.176 	146.391 	5.500 	18.370 	6.111 	1.256 	7.535 	3.600 	12.927 	2.720 	1.549 
FCGR2A	7.279 	2.083 	72.724 	3.972 	3.356 	13.230 	11.499 	4.926 	9.558 	2.155 	11.490 	2.708 	3.198 
RNF212	1.000 	1.000 	1.000 	1.000 	1.213 	22.923 	1.000 	1.000 	1.000 	1.000 	1.000 	2.705 	3.397 
ERN1	1.074 	1.835 	4.273 	8.824 	1.785 	6.336 	10.148 	3.203 	4.377 	37.009 	22.219 	2.698 	6.240 
CD7	1.783 	1.000 	4.830 	95.678 	2.133 	13.489 	4.522 	3.430 	11.524 	16.336 	5.516 	2.663 	2.908 
CST7	4.561 	1.150 	8.971 	72.729 	2.217 	3.704 	86.385 	3.136 	18.731 	1.881 	4.664 	2.630 	1.758 
MED26	5.214 	1.652 	3.462 	3.985 	1.407 	1.732 	1.020 	2.028 	1.239 	27.260 	3.759 	2.601 	4.170 
MANEA	1.000 	1.395 	1.842 	1.000 	1.604 	1.000 	1.000 	2.094 	4.002 	2.183 	23.727 	2.586 	1.000 
TFCP2	5.010 	3.952 	4.750 	1.793 	4.381 	2.830 	21.604 	1.348 	1.039 	2.571 	1.002 	2.535 	2.396 
HVCN1	55.856 	1.000 	10.885 	1.000 	3.449 	3.106 	3.661 	2.793 	1.000 	27.225 	3.012 	2.525 	3.276 
FHL5	1.000 	1.000 	1.000 	1.000 	15.931 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.486 	1.000 
WISP2	1.000 	1.000 	1.000 	1.000 	1.413 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.475 	44.017 
MAML1	4.115 	1.619 	4.642 	1.945 	2.744 	1.885 	3.915 	5.148 	29.363 	1.874 	4.205 	2.460 	1.878 
IL4I1	1.000 	1.147 	14.723 	3.630 	1.000 	2.368 	78.589 	4.870 	1.000 	5.058 	1.936 	2.440 	1.422 
TFEB	16.518 	3.307 	8.902 	1.000 	1.807 	3.596 	6.129 	2.327 	1.000 	1.966 	4.472 	2.422 	3.264 
TREM1	1.000 	1.000 	27.163 	1.000 	1.000 	2.010 	1.000 	2.442 	1.000 	1.000 	3.850 	2.406 	1.824 
GK	4.424 	2.215 	27.225 	4.402 	2.180 	3.375 	10.862 	1.000 	3.846 	2.974 	3.878 	2.391 	3.486 
CALB2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	31.428 	1.000 	1.000 	2.338 	1.969 
LDLRAD4	10.359 	1.219 	10.296 	18.098 	3.615 	3.383 	12.182 	2.217 	10.826 	50.131 	3.266 	2.319 	3.451 
SAMSN1	31.389 	1.229 	44.067 	57.378 	1.834 	11.113 	97.030 	4.037 	166.977 	4.322 	19.777 	2.291 	3.800 
FYB	6.111 	1.183 	55.048 	64.919 	2.080 	16.363 	12.628 	7.555 	9.382 	11.678 	5.238 	2.288 	1.597 
MPP1	1.001 	1.779 	16.378 	3.346 	1.928 	4.474 	7.835 	2.609 	29.883 	7.583 	5.036 	2.288 	2.136 
ARHGAP29	1.000 	3.646 	1.000 	1.000 	32.396 	1.000 	1.000 	54.402 	1.000 	1.000 	1.000 	2.261 	9.770 
KIAA0226	9.968 	1.454 	3.999 	6.662 	3.565 	1.000 	19.678 	1.000 	1.000 	59.602 	10.041 	2.260 	4.600 
CBS	1.000 	1.276 	1.000 	1.000 	1.000 	20.656 	1.000 	1.000 	1.000 	1.000 	1.000 	2.238 	1.406 
DOCK9	1.493 	2.019 	1.038 	2.327 	1.621 	1.281 	1.073 	26.358 	4.244 	1.138 	1.087 	2.209 	1.754 
FABP4	1.000 	1.000 	1.000 	1.000 	58.215 	1.000 	2.230 	104.641 	1.000 	1.000 	1.000 	2.187 	3.412 
RCSD1	82.959 	1.069 	18.067 	26.184 	18.523 	5.482 	16.569 	1.268 	15.011 	17.304 	10.671 	2.183 	1.000 
IFI30	22.136 	2.356 	51.791 	1.050 	1.000 	14.987 	54.859 	1.953 	6.414 	3.358 	17.491 	2.161 	1.985 
SORBS2	1.000 	8.305 	1.000 	1.000 	25.623 	39.296 	1.000 	14.057 	1.000 	1.000 	3.421 	2.158 	2.028 
GIMAP2	6.321 	2.386 	11.471 	23.540 	1.880 	4.926 	6.907 	3.130 	11.776 	1.002 	2.534 	2.158 	1.132 
INPP4A	1.146 	1.146 	3.864 	8.776 	1.475 	1.790 	1.885 	6.653 	1.099 	34.576 	7.576 	2.147 	1.701 
SPI1	25.541 	1.911 	91.310 	1.104 	1.766 	15.109 	73.589 	4.158 	32.049 	8.556 	16.451 	2.138 	3.981 
ADAM33	1.100 	1.000 	1.000 	1.137 	1.000 	1.049 	1.008 	1.000 	1.096 	1.026 	1.005 	2.127 	21.046 
HIST1H1C	11.423 	54.583 	7.336 	7.693 	9.865 	12.123 	7.476 	4.521 	3.646 	34.772 	51.197 	2.117 	3.334 
NEK8	9.670 	2.590 	1.712 	2.786 	2.292 	1.000 	4.950 	2.978 	5.474 	28.891 	5.247 	2.112 	2.457 
STXBP6	1.000 	5.438 	1.000 	1.000 	1.000 	25.304 	1.000 	1.782 	22.735 	1.000 	2.090 	2.105 	3.390 
IL33	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	22.150 	1.000 	1.000 	1.000 	2.094 	10.113 
WT1	1.016 	1.000 	1.000 	1.022 	1.000 	1.001 	1.000 	1.000 	2.838 	1.000 	1.000 	2.078 	24.841 
RNASE1	1.000 	16.084 	22.927 	1.000 	1.000 	172.260 	4.607 	127.948 	4.735 	1.000 	7.199 	2.071 	3.514 
CLPTM1L	1.001 	6.080 	4.342 	1.002 	1.663 	5.075 	1.000 	2.306 	7.379 	3.928 	31.426 	2.066 	2.092 
CLEC10A	3.581 	1.000 	31.877 	1.000 	2.034 	5.004 	14.636 	3.207 	2.142 	4.214 	4.687 	2.064 	1.122 
VWA5A	1.000 	7.548 	3.506 	1.000 	4.105 	3.282 	1.000 	4.896 	123.829 	2.082 	4.086 	2.054 	3.810 
SLC38A5	1.000 	12.871 	1.000 	4.050 	1.000 	35.537 	1.000 	1.288 	1.000 	2.204 	28.433 	2.036 	1.509 
CPA1	1.802 	1.023 	3.551 	3.567 	1.612 	316.213 	5.545 	1.039 	4.034 	1.315 	7.271 	2.031 	1.036 
EGLN3	2.127 	6.704 	1.859 	2.313 	1.153 	3.161 	1.417 	9.220 	2.121 	36.238 	1.381 	2.029 	1.197 
IL7R	5.153 	1.000 	6.074 	107.043 	2.477 	10.943 	114.146 	2.514 	6.251 	2.666 	5.738 	2.020 	1.000 
FCER1A	3.533 	1.000 	28.808 	3.669 	1.360 	6.860 	8.859 	1.269 	49.347 	22.200 	6.478 	2.019 	1.000 
CECR1	7.436 	1.059 	23.135 	6.513 	1.000 	2.328 	2.025 	4.379 	1.000 	17.267 	26.489 	2.016 	1.033 
BDKRB1	1.030 	1.000 	1.000 	1.037 	1.000 	1.005 	1.000 	1.000 	1.031 	1.000 	1.000 	2.009 	38.532 
TP53INP1	5.213 	1.261 	2.510 	1.679 	2.267 	5.668 	6.661 	1.573 	5.238 	2.237 	23.492 	2.002 	2.976 
PTPRC	91.482 	2.367 	64.412 	128.315 	2.394 	22.620 	40.126 	7.062 	34.720 	34.679 	21.040 	2.001 	2.568 
MCM5	17.028 	2.588 	11.274 	4.871 	2.943 	6.073 	38.019 	2.222 	1.000 	15.817 	7.531 	2.000 	1.197 
ADAP2	2.914 	1.000 	24.294 	1.000 	17.649 	7.159 	12.509 	1.958 	1.000 	1.000 	3.584 	1.994 	1.563 
CYTIP	67.346 	3.304 	26.669 	88.080 	1.345 	11.812 	67.042 	5.258 	8.505 	25.259 	49.418 	1.992 	2.014 
CCL5	14.014 	1.000 	9.073 	163.270 	6.330 	13.375 	6.728 	12.431 	4.295 	3.467 	16.487 	1.990 	1.685 
TTI1	1.027 	1.544 	1.553 	1.032 	1.000 	2.280 	1.000 	2.896 	20.436 	2.148 	1.157 	1.981 	1.514 
VMO1	1.000 	1.000 	13.145 	1.000 	1.000 	1.000 	25.349 	1.721 	1.000 	1.650 	2.032 	1.976 	1.059 
PRSS3	1.653 	83.229 	5.730 	4.677 	2.120 	356.910 	2.045 	4.892 	6.770 	2.045 	10.295 	1.969 	1.199 
ANXA2R	11.334 	1.000 	2.163 	18.476 	1.739 	1.000 	1.000 	8.019 	1.000 	5.551 	3.896 	1.963 	1.390 
THEMIS2	19.386 	3.513 	30.272 	5.965 	1.000 	3.701 	30.908 	1.390 	7.117 	64.919 	28.431 	1.960 	1.851 
RGN	1.000 	1.000 	1.000 	1.000 	1.000 	15.219 	1.000 	1.000 	1.000 	1.000 	1.000 	1.944 	1.000 
CD48	98.226 	1.282 	27.409 	66.295 	4.723 	13.331 	5.248 	1.381 	23.087 	14.285 	15.397 	1.940 	1.492 
TNFSF4	1.031 	1.000 	1.000 	1.042 	1.000 	1.003 	17.502 	1.000 	1.026 	1.990 	1.000 	1.917 	1.219 
RPPH1	3.573 	4.665 	6.145 	4.432 	5.078 	2.026 	8.931 	1.811 	1.000 	24.103 	4.252 	1.912 	1.378 
CLDN23	1.000 	30.037 	1.941 	1.000 	1.000 	2.303 	1.766 	1.855 	4.347 	1.902 	1.855 	1.909 	1.294 
RASSF5	19.784 	2.989 	15.425 	35.073 	1.159 	5.631 	12.884 	1.790 	48.425 	23.945 	10.912 	1.906 	1.521 
POU2F2	56.452 	1.004 	15.665 	7.887 	1.000 	6.179 	1.005 	1.000 	10.565 	10.623 	20.345 	1.905 	1.000 
CDKN2D	9.092 	5.032 	3.522 	8.332 	7.033 	1.000 	1.000 	2.151 	2.757 	35.681 	1.942 	1.905 	1.797 
RENBP	4.233 	1.007 	17.678 	1.220 	1.991 	4.875 	9.998 	1.753 	62.777 	5.888 	4.155 	1.899 	1.000 
GJC1	1.000 	1.000 	1.000 	1.000 	23.228 	1.000 	1.000 	3.415 	1.000 	1.000 	1.000 	1.889 	1.446 
CDKN2A	1.000 	67.967 	1.500 	4.588 	1.000 	4.389 	1.756 	1.252 	1.000 	1.000 	7.610 	1.888 	1.616 
NCF1	84.935 	2.074 	27.267 	34.985 	4.000 	8.470 	13.148 	5.060 	25.005 	54.168 	41.992 	1.880 	3.356 
SELL	82.982 	1.060 	13.394 	35.410 	4.260 	4.097 	15.802 	1.917 	1.456 	102.581 	5.577 	1.856 	1.274 
PNLIP	1.000 	1.000 	2.252 	1.000 	1.000 	239.747 	1.000 	1.793 	1.000 	1.352 	3.747 	1.844 	1.000 
RAB30	10.898 	1.458 	1.000 	1.000 	2.673 	1.000 	18.270 	3.681 	1.000 	4.783 	23.289 	1.825 	1.000 
BMP2K	6.713 	2.270 	16.917 	1.749 	2.159 	4.853 	21.577 	5.401 	35.165 	4.915 	2.452 	1.807 	2.174 
ANKRD44	32.353 	1.104 	9.025 	17.093 	1.389 	4.880 	11.221 	1.994 	9.690 	11.591 	7.425 	1.805 	1.452 
STX3	3.395 	7.327 	6.328 	3.896 	3.491 	3.128 	1.607 	2.274 	36.015 	2.039 	1.791 	1.788 	2.630 
LINC01133	1.000 	64.202 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.770 	11.506 
S100P	1.000 	209.178 	1.663 	1.000 	1.000 	1.000 	1.000 	1.000 	6.715 	1.000 	4.440 	1.763 	1.000 
MNDA	12.378 	1.464 	87.624 	1.511 	1.676 	12.569 	50.059 	4.090 	1.000 	2.733 	7.660 	1.762 	2.780 
PTGS2	1.000 	2.896 	9.177 	1.000 	1.000 	1.000 	3.052 	9.038 	34.485 	1.000 	1.000 	1.758 	21.106 
C15orf48	4.321 	87.775 	60.353 	4.530 	2.121 	42.122 	101.330 	1.414 	11.687 	4.958 	13.840 	1.758 	3.159 
REG3A	1.008 	6.827 	4.425 	1.016 	1.000 	292.732 	1.000 	1.113 	4.286 	1.757 	12.337 	1.750 	1.288 
SMAP2	46.664 	2.062 	21.624 	22.770 	4.884 	5.618 	33.689 	3.595 	6.225 	15.256 	19.370 	1.730 	2.729 
OLR1	3.847 	2.938 	65.706 	3.648 	1.094 	20.183 	7.210 	1.511 	1.000 	2.072 	8.482 	1.729 	1.120 
UCP2	69.440 	3.723 	49.831 	44.076 	4.437 	20.352 	34.519 	5.455 	16.506 	94.725 	20.331 	1.725 	1.769 
CLEC14A	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	92.523 	1.000 	1.000 	1.000 	1.714 	1.488 
CHST2	1.000 	1.000 	4.560 	1.000 	5.279 	1.000 	16.224 	1.944 	5.453 	1.000 	19.661 	1.713 	2.255 
IMPA2	1.958 	4.835 	6.071 	2.034 	9.451 	70.151 	1.263 	1.098 	5.066 	5.114 	2.040 	1.710 	3.404 
