NAME	B cells	Ductal cells 1	Myeloid & Macrophage	T and NK cells	Perivascular cells	Acinar cells	Activated DC	Fenestrated EC	Mast cells	pDCs	Plasma cells	myCAF	ICAF
VASN	1.008 	2.087 	1.000 	1.021 	27.999 	3.034 	1.000 	1.419 	1.008 	1.000 	1.000 	10.575 	37.148 
DPEP1	1.592 	1.462 	1.049 	1.695 	1.035 	58.215 	1.100 	1.022 	1.580 	1.203 	8.812 	10.546 	1.020 
CNN1	1.531 	1.006 	1.044 	1.658 	27.912 	1.328 	1.089 	1.015 	1.524 	1.184 	2.117 	10.534 	17.331 
KCNE4	1.043 	1.000 	1.000 	1.051 	31.652 	1.018 	1.000 	1.000 	1.042 	1.001 	1.000 	10.420 	13.058 
SPCS3	12.455 	18.400 	24.844 	15.317 	10.317 	25.026 	13.122 	20.675 	10.194 	37.687 	123.829 	10.395 	11.975 
EVL	60.819 	1.896 	20.918 	100.267 	10.459 	18.042 	6.946 	10.517 	10.790 	4.621 	11.248 	10.385 	6.165 
KCNJ8	1.040 	1.000 	1.000 	1.049 	25.811 	3.695 	1.000 	1.000 	1.039 	1.001 	1.000 	10.279 	4.263 
KCNS3	1.053 	1.972 	1.000 	1.063 	18.920 	1.043 	1.001 	1.000 	1.052 	1.008 	1.000 	10.237 	1.000 
PAMR1	1.000 	1.000 	1.000 	1.000 	4.805 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	10.230 	26.359 
PTPRS	1.000 	1.000 	1.000 	1.000 	5.136 	12.284 	2.827 	1.000 	1.000 	62.850 	4.617 	10.175 	29.858 
LMO7	1.035 	64.841 	1.942 	1.045 	1.343 	7.113 	1.838 	1.000 	4.622 	1.000 	2.025 	10.133 	1.645 
RGS5	1.863 	1.097 	1.105 	2.001 	193.447 	1.516 	1.240 	1.496 	1.856 	1.449 	1.679 	10.024 	2.945 
GUCY1B3	1.990 	1.045 	1.165 	2.082 	38.376 	1.678 	4.371 	1.682 	1.991 	1.453 	1.302 	9.972 	3.545 
RUNX2	2.101 	1.059 	3.279 	6.511 	1.134 	2.173 	1.805 	1.084 	3.601 	27.268 	6.042 	9.929 	1.716 
SEC11C	17.640 	9.173 	11.914 	17.640 	12.664 	53.356 	12.090 	13.263 	11.051 	29.576 	175.723 	9.744 	3.227 
HYAL2	1.000 	6.571 	3.754 	1.000 	4.400 	7.015 	3.978 	85.946 	1.000 	3.772 	1.000 	9.703 	4.369 
SYNPO2	1.000 	1.000 	1.000 	1.000 	31.354 	1.000 	5.014 	1.000 	1.000 	1.000 	1.000 	9.679 	3.628 
DERL3	10.468 	1.270 	1.988 	1.000 	1.613 	5.111 	1.000 	1.000 	6.682 	81.868 	237.530 	9.593 	1.000 
SEL1L	5.825 	6.720 	8.447 	5.807 	7.893 	23.219 	1.942 	6.364 	5.200 	6.822 	53.941 	9.533 	6.486 
AIF1	17.080 	7.314 	196.141 	14.313 	6.847 	56.006 	26.850 	13.584 	17.002 	23.507 	31.227 	9.520 	7.765 
RORA	2.988 	1.605 	1.000 	34.442 	7.437 	14.142 	2.968 	9.234 	8.017 	3.606 	4.538 	9.443 	7.622 
LIMD2	103.693 	3.740 	33.738 	63.518 	9.269 	16.969 	25.495 	3.150 	26.599 	31.454 	17.673 	9.423 	2.776 
CD40	44.568 	3.709 	13.922 	1.000 	11.125 	8.432 	71.592 	18.615 	4.196 	3.658 	12.419 	9.404 	10.212 
PPAP2B	3.140 	1.861 	1.000 	1.000 	22.838 	2.915 	1.000 	49.431 	1.000 	1.000 	1.000 	9.265 	42.257 
IGFBP2	1.000 	4.225 	1.000 	1.000 	12.053 	111.983 	3.540 	21.076 	1.000 	1.000 	1.000 	9.211 	3.247 
IGF1	1.000 	1.000 	2.359 	1.000 	1.000 	1.000 	2.082 	1.348 	1.000 	1.000 	19.777 	9.179 	79.579 
ID4	1.000 	1.000 	1.000 	1.000 	24.751 	1.832 	1.000 	1.000 	1.000 	1.000 	1.000 	9.149 	19.376 
F10	1.000 	1.000 	1.000 	1.000 	17.002 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	9.050 	30.455 
ITGB2	34.861 	6.057 	113.593 	70.516 	4.962 	36.219 	33.769 	8.214 	24.028 	25.514 	23.610 	8.838 	6.040 
SPATS2	5.915 	4.023 	3.977 	2.723 	4.295 	4.680 	13.444 	4.808 	4.984 	9.367 	32.557 	8.834 	7.363 
MRGPRF	1.000 	1.000 	1.000 	1.000 	24.698 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	8.705 	22.150 
FGL2	4.975 	1.085 	53.896 	4.945 	1.518 	8.905 	7.568 	10.324 	17.006 	1.807 	17.819 	8.683 	11.833 
TRAF4	11.469 	24.319 	1.962 	5.286 	5.438 	4.260 	4.376 	4.647 	9.169 	51.197 	5.368 	8.673 	17.935 
MMP7	3.325 	29.949 	2.084 	1.000 	1.479 	29.240 	1.000 	1.983 	1.000 	1.000 	5.328 	8.673 	1.992 
PTPRE	4.010 	6.454 	29.603 	11.603 	5.740 	6.611 	1.000 	21.766 	9.170 	72.729 	5.171 	8.664 	2.984 
HSPA13	2.476 	2.055 	4.922 	3.747 	6.816 	2.739 	2.077 	3.734 	7.501 	4.842 	31.187 	8.480 	8.804 
ADAMTS1	1.003 	1.190 	1.000 	1.011 	97.632 	1.001 	1.000 	45.997 	1.003 	1.000 	1.000 	8.400 	64.641 
MT1M	1.044 	12.428 	1.000 	1.053 	86.544 	37.229 	1.000 	16.343 	1.042 	1.001 	1.000 	8.377 	35.093 
PHGDH	1.673 	6.415 	1.061 	1.811 	3.983 	15.038 	1.122 	1.022 	1.793 	1.245 	20.842 	8.248 	16.879 
FYN	4.875 	1.634 	3.714 	47.298 	2.524 	3.479 	1.000 	15.381 	4.539 	6.367 	1.708 	8.202 	12.250 
MITF	1.000 	1.821 	5.772 	1.000 	6.652 	1.000 	1.575 	1.000 	20.138 	1.000 	1.000 	8.119 	5.137 
MRVI1	1.000 	1.000 	1.000 	1.000 	18.034 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	8.093 	1.000 
CORO1A	135.562 	4.929 	78.845 	132.354 	7.429 	31.441 	19.923 	6.005 	38.419 	94.162 	34.403 	8.090 	5.924 
GFPT2	1.001 	1.000 	1.000 	1.006 	1.358 	1.000 	1.000 	1.000 	1.003 	1.000 	1.000 	8.073 	61.801 
CHN1	1.034 	1.000 	1.000 	6.215 	24.160 	1.008 	1.000 	4.960 	1.034 	1.000 	1.000 	8.058 	1.145 
CYB561A3	34.320 	4.553 	11.433 	6.697 	4.943 	3.784 	13.621 	5.832 	11.797 	91.310 	5.641 	8.047 	8.832 
EBF1	12.769 	1.000 	1.000 	1.000 	37.768 	1.000 	1.000 	13.771 	1.000 	1.000 	2.622 	8.015 	29.221 
CD52	187.299 	6.389 	83.094 	180.335 	15.217 	35.025 	18.524 	14.952 	110.384 	71.228 	36.087 	7.946 	7.809 
SPINK1	5.731 	197.817 	9.656 	8.329 	4.457 	377.703 	4.429 	8.315 	11.672 	1.000 	25.830 	7.944 	2.225 
GPR137B	2.414 	3.363 	13.454 	5.219 	2.883 	4.762 	56.699 	1.831 	4.289 	1.689 	2.056 	7.787 	4.168 
ARSA	3.811 	7.757 	7.463 	4.245 	4.651 	14.661 	7.420 	5.850 	5.897 	9.926 	45.622 	7.768 	10.640 
C1QB	13.027 	9.662 	117.683 	11.149 	8.242 	61.121 	16.150 	13.933 	10.337 	4.669 	36.239 	7.727 	6.231 
RFTN1	6.191 	1.000 	5.418 	9.690 	4.263 	2.009 	58.108 	9.030 	15.844 	17.636 	2.014 	7.671 	7.298 
GAMT	3.837 	1.000 	3.666 	3.596 	13.518 	68.437 	5.875 	1.388 	5.774 	5.073 	8.485 	7.608 	5.039 
HLA-DQA1	159.754 	12.732 	166.977 	24.144 	10.931 	54.553 	244.269 	21.686 	10.427 	101.546 	36.970 	7.534 	5.242 
PPP1R14B	6.707 	14.390 	6.133 	8.597 	5.207 	75.953 	4.980 	9.045 	8.489 	129.417 	5.865 	7.486 	8.890 
LDB2	1.828 	1.030 	1.076 	1.945 	5.225 	1.558 	2.987 	43.528 	2.523 	1.352 	1.212 	7.412 	9.329 
TCEA3	1.994 	10.131 	1.141 	2.130 	7.244 	40.456 	1.626 	2.349 	1.994 	1.462 	1.385 	7.346 	9.449 
C1QTNF1	1.000 	1.000 	1.000 	1.000 	33.167 	1.000 	1.000 	3.665 	1.000 	1.000 	1.000 	7.318 	8.932 
PTGIS	1.000 	11.194 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	7.227 	28.389 
HOXB6	1.000 	2.609 	1.000 	1.000 	5.185 	1.000 	1.000 	2.924 	13.793 	1.000 	1.000 	7.227 	1.265 
NTRK2	1.000 	1.000 	1.000 	1.000 	36.950 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	7.213 	12.577 
SPECC1	1.000 	6.263 	5.824 	1.000 	12.690 	5.404 	32.496 	1.308 	12.346 	1.000 	2.210 	7.212 	2.345 
TPPP3	1.266 	7.675 	1.606 	1.358 	63.237 	1.345 	1.037 	7.848 	1.263 	1.062 	1.055 	7.121 	62.253 
ADH1B	1.000 	1.000 	1.000 	1.000 	5.773 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	7.099 	61.305 
PRDM1	3.628 	1.833 	13.885 	24.135 	2.536 	4.841 	6.320 	8.544 	4.027 	1.000 	42.579 	6.991 	1.395 
PSD3	1.000 	5.722 	1.913 	1.000 	4.119 	5.688 	20.533 	1.917 	1.000 	1.000 	1.000 	6.984 	3.996 
ACVRL1	1.000 	1.000 	1.000 	1.000 	3.585 	1.000 	2.837 	34.547 	1.000 	1.000 	1.000 	6.790 	10.729 
CD69	132.354 	3.301 	26.348 	144.581 	5.666 	18.863 	19.323 	7.117 	186.277 	18.712 	20.837 	6.790 	3.284 
ALOX5AP	40.550 	6.566 	120.478 	59.266 	6.746 	35.979 	19.011 	12.374 	152.795 	184.675 	28.231 	6.586 	5.143 
DUSP10	6.085 	7.336 	12.487 	13.812 	1.225 	5.416 	20.370 	2.159 	56.403 	13.074 	3.915 	6.571 	2.174 
NDFIP2	1.068 	15.525 	1.000 	11.666 	5.845 	4.673 	1.003 	7.152 	35.792 	1.017 	4.898 	6.511 	17.981 
HLX	3.741 	1.000 	5.944 	1.000 	5.680 	1.000 	22.324 	12.084 	1.000 	1.904 	1.000 	6.472 	4.113 
ADAMTS4	1.003 	1.000 	1.000 	1.010 	82.385 	1.000 	1.000 	31.847 	1.003 	1.000 	1.619 	6.459 	34.554 
NEGR1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	6.439 	21.970 
SCT	1.116 	1.000 	1.001 	1.162 	1.000 	1.053 	1.013 	1.000 	1.111 	62.579 	1.014 	6.424 	1.000 
ARHGEF17	1.000 	1.000 	1.000 	1.001 	18.163 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	6.418 	1.671 
TNFRSF21	1.144 	12.734 	5.629 	1.221 	14.264 	2.319 	6.177 	1.000 	4.764 	37.328 	1.034 	6.402 	8.544 
SMYD3	3.920 	3.365 	1.957 	3.517 	5.362 	1.000 	3.788 	1.805 	52.392 	2.159 	5.448 	6.345 	4.808 
ABI3BP	2.109 	1.661 	1.212 	2.249 	1.280 	1.800 	1.412 	1.806 	2.108 	1.549 	1.390 	6.307 	32.287 
CILP	1.139 	1.000 	1.001 	1.201 	1.000 	1.059 	1.019 	1.000 	1.137 	1.037 	1.014 	6.291 	57.688 
ARHGAP10	1.000 	1.525 	4.216 	4.000 	16.685 	2.792 	28.806 	1.106 	1.000 	1.000 	1.000 	6.287 	5.433 
MIR143HG	1.226 	1.000 	1.003 	1.284 	17.942 	1.079 	1.031 	1.000 	1.222 	1.049 	1.026 	6.248 	1.000 
C1QA	14.442 	10.489 	122.791 	8.539 	13.065 	50.243 	18.135 	13.883 	12.157 	5.324 	27.653 	6.223 	5.211 
CLIC2	1.609 	1.014 	6.766 	1.695 	1.787 	1.481 	53.000 	15.441 	1.583 	2.911 	1.565 	6.138 	9.510 
ICAM3	58.545 	4.614 	17.675 	53.863 	2.622 	11.282 	8.723 	6.938 	22.934 	11.989 	71.139 	6.121 	2.725 
MT1F	3.911 	13.711 	8.045 	11.649 	13.961 	85.514 	1.000 	3.438 	9.799 	4.896 	6.961 	6.100 	4.073 
CD200	10.086 	1.000 	1.000 	1.000 	2.040 	1.000 	30.113 	43.112 	1.000 	1.000 	1.000 	6.073 	10.272 
ANGPT2	3.677 	1.000 	1.000 	1.000 	31.912 	1.000 	1.914 	15.127 	4.228 	1.000 	1.000 	6.067 	1.466 
