NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	NK cells	naive B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
CD79A	1.000 	1.000 	6.240 	1.862 	1.000 	342.627 	2.738 	5.030 	40.574 	12.096 	1.000 	11.463 	1.000 	1.000 	1.604 	1.000 	1.000 	1.000 	6607.363 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CD79B	1.000 	7.489 	29.357 	4.163 	20.654 	365.159 	50.523 	35.586 	71.180 	61.685 	1.000 	2.614 	1.000 	2.983 	1.610 	1.000 	1.000 	1.000 	332.138 	2.566 	1.000 	1.000 	1.000 	6.442 	1.000 	1.000 	1.119 	1.000 	1.009 	1.000 	1.000 	1.000 	1.000 	1.000 
CD82	52.750 	30.534 	513.703 	4.508 	1.000 	31.701 	267.395 	309.911 	39.367 	290.686 	51.940 	6.314 	101.803 	68.140 	76.047 	108.350 	111.066 	3.302 	35.608 	15.028 	4.399 	11.584 	16.047 	13.095 	6.562 	23.680 	5.525 	58.880 	2.530 	39.201 	43.267 	2.740 	8.187 	13.347 
CD83	6.578 	199.342 	11.510 	1.864 	2.363 	262.417 	19.055 	20.741 	14.830 	24.402 	71.442 	7.170 	6.316 	9.418 	4.017 	144.073 	47.745 	1.000 	2.105 	1.000 	1.000 	1.000 	1.022 	2.607 	1.000 	1.756 	1.032 	1.000 	1.447 	36.111 	1.000 	1.157 	1.525 	1.046 
CD84	5.527 	12.770 	23.748 	6.712 	2.069 	6.638 	10.836 	10.691 	13.002 	13.512 	106.088 	3.667 	11.554 	175.864 	6.612 	83.716 	17.668 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	6.602 	1.000 	1.000 	1.000 	1.000 	1.000 
CD86	1.000 	77.468 	1.000 	1.000 	1.000 	5.983 	1.000 	1.000 	1.000 	1.000 	51.636 	1.000 	1.000 	1.000 	1.000 	16.468 	142.242 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.984 	1.000 	1.000 	1.000 	1.000 	1.000 
CD8A	1.000 	1.000 	1.000 	1.000 	24.924 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	163.177 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.524 	1.000 	1.000 	1.000 	1.000 
CD8B	1.000 	1.000 	1.000 	1.713 	1.874 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	189.469 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CD93	65.703 	104.918 	1.000 	1.000 	3.607 	1.000 	2.260 	1.468 	1.000 	2.897 	5.911 	2.536 	1.000 	1.000 	2.743 	1.000 	1.000 	198.494 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	9.463 	1.000 	173.791 	1.000 	27.453 	1.000 	1.000 	1.000 	1.000 	1.000 
CD96	1.000 	1.000 	1.000 	75.651 	64.965 	23.290 	1.000 	1.000 	31.046 	4.985 	1.000 	174.937 	1.000 	7.978 	23.327 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CDCA3	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.040 	1.473 	46.648 	20.446 	10.958 	1.000 	1.000 	4.241 	2.709 	4.169 	4.298 	1.386 	2.696 	9.694 	1.000 	14.572 	12.244 	1.872 	1.000 	1.000 	7.042 	13.368 	7.995 	41.367 
CDCA7	1.000 	1.000 	95.837 	1.000 	1.000 	1.000 	61.868 	88.381 	107.302 	121.039 	1.000 	12.639 	27.748 	8.062 	5.709 	1.805 	1.000 	2.725 	1.000 	1.000 	1.186 	1.000 	2.511 	3.452 	1.000 	17.004 	5.247 	1.000 	1.000 	1.000 	1.093 	3.771 	1.897 	7.695 
CDCA8	1.000 	1.000 	4.689 	1.000 	1.000 	1.000 	2.317 	1.000 	3.128 	1.000 	1.000 	1.000 	23.888 	23.524 	4.998 	1.313 	1.000 	3.090 	1.000 	1.851 	1.523 	1.000 	1.729 	4.038 	1.000 	9.708 	8.236 	1.000 	1.000 	1.000 	5.313 	5.667 	4.653 	11.922 
CDCP1	1.000 	1.000 	4.030 	1.000 	1.000 	1.000 	13.857 	12.428 	8.434 	10.329 	1.993 	1.000 	1.000 	1.000 	1.000 	1.000 	1.716 	1.000 	1.000 	1.000 	2.462 	2.862 	20.671 	1.977 	1.000 	57.062 	1.000 	2.999 	1.069 	1.000 	55.563 	8.486 	9.190 	21.388 
CDH1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	23.337 	1.000 	1.000 	1.000 	39.930 	1.000 	4.892 	1.000 	1.000 	1.000 	29.176 	40.146 	1.000 	50.130 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.867 
CDH11	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.133 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	15.106 	1.000 	179.396 	137.508 	221.352 	9.654 	3.110 	3.729 	19.306 	3.663 	88.151 	14.536 	12.791 	332.578 	4.830 	319.297 	53.671 
CDH18	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.264 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	157.507 	1.000 	1.000 	1.000 	1.000 
CDH2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.127 	1.000 	2.296 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.517 	1.000 	1.000 	13.608 	19.593 	19.539 	1.921 	1.000 	1.000 	4.436 	45.682 	1.000 	45.936 	96.809 	1.356 	41.480 	81.977 
CDH3	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	77.115 	120.548 	1.000 	310.728 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	10.891 	5.555 
CDH5	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	298.689 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	15.409 	1.000 	270.309 	1.133 	18.290 	1.000 	1.000 	1.000 	1.000 	1.000 
CDK1	1.000 	1.907 	7.476 	1.000 	1.000 	1.000 	5.972 	4.943 	1.000 	7.997 	2.434 	2.322 	135.797 	72.990 	22.256 	7.160 	1.167 	16.393 	2.154 	8.343 	5.445 	2.978 	9.641 	33.797 	1.000 	31.841 	30.288 	3.617 	1.000 	1.000 	15.075 	20.643 	14.868 	21.777 
CDK2	7.461 	4.393 	14.222 	6.729 	7.620 	4.968 	8.920 	8.190 	10.523 	8.808 	4.285 	14.241 	14.372 	12.420 	14.745 	6.431 	3.466 	9.406 	10.637 	5.754 	6.665 	3.260 	9.805 	306.694 	3.094 	16.532 	18.160 	4.485 	2.244 	1.000 	13.932 	12.978 	10.987 	13.725 
CDKN3	1.000 	1.170 	9.069 	1.000 	1.000 	1.000 	7.520 	3.637 	15.551 	7.088 	2.407 	1.684 	113.326 	53.021 	11.248 	3.257 	1.000 	12.854 	3.021 	25.351 	10.278 	5.487 	6.032 	41.654 	1.000 	27.657 	30.741 	1.974 	1.000 	13.230 	5.580 	27.992 	8.101 	22.451 
CDO1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	6.700 	1.462 	2.237 	1.000 	1.000 	10.500 	1.000 	1.000 	1.000 	87.498 	28.672 	1.218 	2.064 	4.269 	1.360 
CECR1	1.000 	61.396 	4.306 	13.522 	14.881 	15.043 	28.956 	13.168 	1.000 	27.825 	106.594 	17.558 	1.000 	1.000 	8.238 	31.673 	30.746 	1.511 	306.192 	4.113 	1.521 	1.241 	2.480 	1.000 	1.000 	1.665 	3.898 	1.591 	3.271 	1.000 	1.000 	1.418 	4.335 	5.404 
CENPF	1.000 	1.000 	8.947 	2.290 	1.000 	1.000 	2.465 	3.675 	13.821 	9.727 	1.279 	3.289 	83.318 	45.687 	16.253 	1.741 	1.000 	15.873 	1.973 	11.109 	3.692 	2.925 	6.476 	17.908 	1.000 	13.083 	16.504 	2.256 	1.000 	1.000 	12.973 	16.708 	14.563 	14.559 
CENPW	1.000 	3.462 	20.054 	1.000 	1.000 	1.000 	9.037 	7.423 	23.188 	13.447 	6.233 	1.913 	63.218 	21.659 	6.758 	7.112 	5.415 	3.523 	1.000 	2.293 	2.101 	2.616 	1.347 	3.857 	1.000 	8.239 	5.701 	2.048 	1.000 	7.156 	1.394 	4.211 	1.000 	5.782 
CERKL	1.000 	1.000 	16.626 	1.000 	1.000 	1.000 	12.978 	8.713 	29.346 	18.162 	1.000 	1.000 	13.040 	1.000 	1.000 	1.000 	1.000 	1.000 	1.472 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CFD	23.674 	68.529 	4.047 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	7.577 	48.365 	1.000 	3.533 	1.000 	397.807 	11.506 	5.806 	1.000 	1.000 	1.000 	9.145 	2.011 	1.053 	1.000 	72.695 	1.000 	1.000 	4.310 	1118.054 	1.000 	12.899 	40.256 	1.000 	1.423 
CFP	134.698 	178.507 	1.000 	9.970 	1.000 	1.000 	4.745 	5.076 	1.000 	7.450 	2.628 	24.053 	1.000 	6.212 	34.688 	1.465 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.470 	1.000 	1.000 	1.000 	1.000 	1.000 
CHI3L1	138.084 	2.813 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	949.490 	34.996 	1.000 	1.000 	1.000 	4935.638 	131.072 	1.000 	1.000 	3208.037 	1.014 	2.685 	1.000 	1.000 	1.000 	1.000 	1.000 	17.084 	14.341 	1.000 	224.290 	21.250 	1.929 	2.834 
CHIT1	18.861 	2.701 	1.879 	1.367 	1.557 	1.832 	2.742 	1.980 	3.025 	1.899 	74.167 	12.946 	2.523 	2.160 	1.168 	857.778 	46.390 	1.061 	12.254 	1.018 	1.048 	1.057 	1.018 	1.157 	1.508 	1.034 	1.087 	1.077 	1.228 	1.293 	1.154 	1.202 	1.026 	1.009 
CHN1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.505 	1.005 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	5.760 	1.000 	1.832 	27.521 	3.192 	1.572 	3.547 	1.000 	1.000 	5.599 	21.576 	1.621 	1337.865 	44.675 	10.332 	62.139 	5.317 
CHPF	1.000 	1.000 	1.000 	1.000 	4.985 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	161.305 	47.879 	91.491 	58.176 	74.673 	96.875 	10.906 	94.266 	1.000 	106.669 	10.005 	6.637 	109.731 	38.270 	349.430 	158.165 
CIDEA	1.105 	1.000 	1.000 	1.000 	1.000 	1.000 	1.056 	1.000 	1.019 	1.000 	1.000 	1.000 	1.005 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.853 	1.000 	1.000 	232.797 	1.000 	1.000 	1.000 	1.000 	1.000 
CIDEC	1.107 	1.000 	1.000 	1.000 	1.000 	1.000 	1.057 	1.000 	1.019 	1.000 	1.000 	1.000 	1.005 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.653 	1.000 	1.000 	1.000 	465.383 	1.000 	1.000 	2.529 	1.000 	1.000 
CIRH1A	1.013 	4.438 	42.145 	6.111 	6.017 	7.730 	29.769 	37.407 	21.112 	35.388 	4.846 	7.654 	38.921 	20.654 	4.596 	9.781 	5.209 	1.000 	7.293 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CITED4	4.994 	2.649 	1.000 	2.909 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.927 	1.000 	1.000 	1.000 	1.000 	1.000 	1.410 	1.000 	1.000 	1.118 	1.000 	8.679 	1.000 	7.830 	86.048 	2.041 	1.226 	1.117 	1.000 	1.614 	1.626 	2.500 	10.104 
CKB	1.000 	8.487 	25.967 	1.000 	1.000 	1.000 	21.086 	23.783 	1.000 	1.000 	1.519 	1.000 	10.573 	23.307 	2.384 	2.731 	1.000 	1.201 	2.008 	17.726 	16.157 	7.892 	18.785 	1.237 	20.754 	3.473 	1.393 	21.672 	107.302 	880.220 	1.667 	3.486 	9.737 	157.505 
CKM	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	13531.245 	1.000 	1.000 	18.914 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CKMT2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.516 	1.000 	1.000 	303.701 	1.000 	1.000 	4.659 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CLCA2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	94.637 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.263 	1.000 
CLDN1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	28.699 	1.280 	1.000 	3.529 	2.460 	1.000 	1.367 	1.000 	35.813 	1.000 	1.450 	42.320 
CLDN10	1.000 	1.000 	18.851 	1.000 	1.000 	1.000 	34.068 	30.646 	42.118 	40.525 	1.000 	1.000 	1.000 	2.739 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.010 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	21.852 	1.000 	1.000 	1.027 	2.107 
CLDN11	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.703 	1.000 	1.000 	1.000 	1.000 	1.000 	1.179 	1.000 	1.000 	1.000 	1.000 	50.663 	1.000 	9.730 	114.739 	98.840 	1.806 	1.000 	1.000 	1.927 	155.373 	48.666 	3.875 	2.235 	510.226 	518.227 	59.190 	21.582 
CLDN4	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	66.339 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.239 	1.000 	44.377 
CLDN5	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	284.538 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	37.644 	1.000 	376.115 	3.726 	45.538 	1.000 	1.000 	1.000 	1.000 	1.000 
CLDN7	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.159 	1.991 	1.000 	1.000 	1.000 	1.000 	1.000 	2.674 	1.000 	1.000 	1.000 	1.000 	50.765 	1.000 	1.000 	6.808 	3.613 	2.286 	1.221 	1.000 	1.337 	1.000 	2.033 	8.882 
CLEC12A	14.169 	86.415 	5.048 	1.000 	3.882 	1.000 	1.000 	2.585 	5.466 	18.576 	19.665 	16.675 	1.987 	7.692 	191.806 	6.609 	1.409 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CLEC14A	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.475 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	113.618 	1.000 	1.000 	1.346 	1.000 	1.000 	1.000 	11.451 	1.000 	74.181 	1.701 	8.824 	1.000 	1.000 	1.000 	1.000 	1.000 
CLEC1B	1.000 	3.007 	1.000 	1.000 	1.000 	1.000 	1.345 	1.000 	1.000 	2.541 	1.000 	1.000 	13.230 	264.027 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CLEC2D	15.927 	8.277 	3.177 	227.731 	49.917 	149.993 	5.687 	5.471 	7.419 	7.542 	6.469 	121.453 	3.604 	2.416 	10.164 	8.419 	2.039 	1.000 	64.923 	1.799 	1.045 	1.000 	1.017 	1.848 	1.000 	1.057 	1.000 	1.406 	4.220 	1.000 	1.335 	1.000 	1.000 	1.005 
CLEC3B	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.117 	2.594 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	26.628 	16.854 	2.115 	1.000 	1.000 	9.788 	1.000 	1.000 	9.112 	115.652 	1.000 	1.000 	18.172 	1.000 	1.000 
CLEC7A	357.112 	259.095 	1.000 	1.000 	1.000 	1.000 	5.403 	3.376 	1.000 	7.933 	112.808 	1.000 	1.000 	1.000 	1.608 	46.157 	2.939 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	5.385 	1.000 	1.000 	1.000 	1.000 	1.000 
CLMP	1.015 	1.000 	1.000 	1.000 	1.000 	1.000 	1.009 	1.000 	1.002 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	220.645 	66.731 	64.795 	6.998 	1.856 	2.411 	30.654 	1.000 	36.034 	88.472 	60.313 	199.063 	94.010 	17.633 	3.611 
CLU	1.000 	13.871 	22.187 	1.000 	1.000 	1.000 	18.508 	41.111 	6.183 	8.732 	2.840 	1.000 	57.485 	1955.558 	37.666 	94.959 	29.025 	203.062 	1.000 	1217.764 	242.781 	270.288 	33.659 	1.614 	93.013 	2.479 	360.628 	14.952 	1663.761 	902.714 	51.497 	32.810 	1514.143 	70.531 
CMTM2	165.299 	4.469 	1.000 	1.000 	1.000 	1.000 	2.144 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CMTM5	1.000 	1.586 	2.796 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	6.386 	105.373 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
CMYA5	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.299 	1.000 	1.000 	1.000 	1.000 	1564.718 	1.000 	1.000 	1.347 	1.496 	2.308 	1.000 	1.000 	1.000 	1.000 
CNN1	1.375 	1.000 	1.005 	1.000 	1.000 	1.002 	1.192 	1.008 	1.121 	1.005 	1.000 	1.000 	1.033 	1.000 	1.000 	1.000 	1.000 	1.000 	1.001 	1.000 	4.155 	3.396 	1.013 	1.000 	2.285 	1.000 	1.000 	2.097 	1.199 	1.000 	5.510 	1.000 	241.650 	31.575 
CNRIP1	1.000 	1.000 	134.822 	1.000 	1.000 	1.000 	3.483 	25.432 	2.236 	1.919 	1.761 	1.000 	60.029 	5.482 	1.000 	1.349 	1.000 	18.157 	1.000 	28.589 	13.668 	7.977 	1.004 	6.416 	3.068 	1.000 	26.720 	6.821 	18.220 	31.473 	13.700 	16.288 	6.064 	10.915 
COL12A1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.882 	1.000 	2821.624 	131.963 	228.547 	12.251 	5.935 	11.028 	76.337 	18.229 	203.404 	141.920 	1.000 	167.128 	44.679 	80.730 	44.213 
COL14A1	2.008 	1.012 	1.072 	1.008 	1.020 	1.035 	1.524 	1.099 	2.325 	1.070 	1.000 	1.005 	1.311 	1.007 	1.001 	1.002 	1.004 	1.000 	1.032 	50.913 	17.804 	59.499 	1.000 	11.156 	5.108 	1.000 	1.000 	1.178 	7.625 	1.005 	6.048 	2.946 	43.827 	1.160 
COL17A1	1.371 	1.000 	1.002 	1.000 	1.000 	1.001 	1.132 	1.003 	1.062 	1.002 	1.000 	9.483 	1.017 	1.000 	1.001 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.604 	1.000 	1.000 	524.427 	1.148 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
COL1A1	1.000 	1.000 	1.000 	1.000 	1.000 	1.934 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.255 	1.000 	819.493 	2155.061 	797.783 	47.234 	2.015 	2.490 	9.103 	4.345 	232.371 	13.184 	1.000 	1850.870 	515.905 	5187.880 	1698.167 
COL1A2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.297 	1.000 	3316.392 	3065.392 	3231.265 	4.408 	28.279 	10.623 	9.342 	5.350 	1246.506 	81.374 	1.000 	2163.645 	862.781 	7392.343 	338.658 
COL23A1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.634 	1.000 	1.000 	1.000 	43.944 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
COL3A1	1.124 	1.000 	1.000 	1.000 	1.000 	1.000 	1.066 	1.000 	1.022 	1.000 	1.000 	1.000 	1.007 	1.000 	1.000 	1.000 	1.000 	1.426 	1.000 	1372.159 	1307.284 	1417.763 	4.566 	1.000 	7.313 	4.316 	1.992 	511.308 	97.400 	1.000 	2519.338 	814.262 	3316.392 	190.903 
COL4A1	1.903 	1.009 	1.036 	1.005 	1.011 	1.019 	1.419 	1.050 	1.426 	1.035 	1.000 	1.002 	1.200 	1.002 	1.000 	1.001 	1.001 	520.176 	1.016 	28.996 	93.620 	78.184 	145.401 	17.749 	45.482 	26.260 	400.883 	271.964 	389.905 	27.933 	333.209 	73.098 	378.021 	705.929 
COL4A2	1.818 	1.006 	1.036 	1.005 	1.011 	1.019 	1.418 	1.050 	1.426 	1.035 	1.102 	1.002 	1.200 	1.002 	1.841 	1.001 	1.001 	346.629 	1.016 	34.008 	110.356 	133.751 	216.438 	45.218 	31.864 	72.522 	367.764 	170.707 	240.593 	16.451 	264.611 	62.765 	383.422 	1014.495 
COL5A1	1.518 	1.001 	1.011 	1.000 	1.002 	1.005 	1.872 	2.406 	1.214 	1.012 	1.000 	1.002 	1.067 	1.000 	1.000 	1.000 	1.000 	14.678 	1.005 	210.108 	114.497 	99.059 	6.692 	1.000 	1.004 	3.797 	3.780 	74.185 	4.801 	4.443 	205.104 	33.283 	391.200 	213.261 
COL5A2	1.517 	1.001 	1.011 	1.000 	1.002 	1.763 	1.265 	1.015 	1.213 	1.022 	1.000 	1.000 	1.067 	1.000 	1.000 	1.000 	1.000 	34.235 	1.005 	292.117 	316.848 	161.136 	12.381 	55.957 	2.268 	18.733 	13.833 	312.350 	23.446 	1.001 	206.832 	102.057 	546.142 	90.277 
COL6A1	2.498 	1.047 	1.236 	1.654 	1.083 	1.130 	1.830 	1.567 	1.951 	1.243 	4.572 	1.088 	1.620 	1.029 	1.010 	23.878 	2.059 	5.324 	1.195 	756.962 	939.658 	623.444 	24.596 	11.098 	37.666 	19.003 	8.358 	227.846 	256.292 	5.761 	1207.918 	1528.042 	941.043 	192.829 
COL6A2	2.496 	1.074 	1.236 	5.693 	35.983 	1.130 	1.829 	3.031 	1.950 	1.242 	3.479 	11.893 	1.619 	1.029 	1.010 	26.788 	1.318 	3.499 	1.125 	629.733 	942.693 	673.585 	22.765 	2.472 	48.744 	16.634 	2.995 	250.178 	287.660 	1.022 	962.413 	1265.878 	1166.755 	109.776 
COL6A3	2.495 	1.047 	1.235 	1.405 	1.083 	1.130 	2.595 	1.291 	3.054 	1.242 	1.003 	6.339 	1.618 	2.122 	1.009 	1.022 	1.017 	1.510 	1.124 	1104.067 	780.022 	1017.069 	2.467 	1.115 	63.548 	5.537 	1.617 	158.371 	199.795 	1.022 	876.873 	1333.278 	58.316 	192.733 
COL7A1	4.135 	1.308 	1.088 	1.010 	1.024 	1.044 	1.561 	1.121 	1.621 	1.088 	1.000 	1.006 	1.349 	1.009 	1.166 	1.003 	2.919 	1.001 	2.127 	1.049 	5.523 	12.657 	77.671 	1.002 	1.021 	103.755 	1.000 	2.817 	1.000 	1.893 	59.016 	3.229 	11.009 	63.282 
COL8A1	3.643 	1.376 	1.795 	1.307 	1.484 	1.579 	2.627 	1.890 	3.864 	1.810 	1.048 	1.236 	2.413 	1.298 	1.114 	1.159 	1.206 	66.247 	1.563 	33.350 	53.986 	25.471 	11.700 	1.436 	1.560 	27.206 	45.278 	262.827 	3.063 	2.318 	55.359 	4.703 	189.362 	133.449 
CORO6	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.014 	1.000 	1.134 	1.861 	2.070 	1.035 	1.000 	221.124 	2.592 	1.000 	8.463 	3.059 	1.000 	1.000 	1.351 	1.204 	1.148 
