NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	NK cells	naive B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
ACTN2	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.005 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	387.440 	1.000 	1.000 	10.553 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
ACVRL1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	12.042 	1.000 	1.000 	1.000 	1.000 	2.031 	1.741 	188.160 	1.000 	2.291 	24.625 	18.982 	1.007 	1.000 	20.388 	1.000 	187.906 	23.466 	40.596 	1.000 	3.462 	81.422 	3.541 	1.067 
ACY3	1.000 	1.000 	2.248 	1.000 	1.000 	1.000 	8.248 	16.190 	143.124 	41.861 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	10.223 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
ADA	2.227 	7.555 	34.765 	9.282 	28.930 	1.500 	29.657 	35.763 	118.717 	64.142 	2.924 	24.966 	4.640 	2.878 	38.586 	10.934 	3.584 	8.761 	70.278 	1.790 	3.716 	2.928 	4.257 	1.846 	1.138 	19.499 	5.066 	2.795 	4.205 	1.010 	2.461 	7.209 	6.405 	9.931 
ADAM12	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.420 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	2.017 	1.302 	1.000 	1.000 	90.821 	15.205 	12.111 	1.059 	5.544 	1.000 	1.000 	1.000 	4.837 	2.699 	1.000 	16.075 	86.249 	175.204 	9.296 
ADAM33	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.037 	18.331 	14.649 	1.000 	1.000 	2.662 	1.000 	1.000 	1.000 	11.484 	1.000 	4.040 	48.345 	3.314 	1.002 
ADAMDEC1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	50.089 	1.000 	1.000 	1.000 	1.000 	33.867 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
ADAMTS1	1.000 	1.000 	1.000 	1.000 	6.652 	1.000 	1.000 	1.372 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.889 	1.000 	318.719 	85.275 	75.401 	15.087 	5.172 	16.412 	4.259 	6.834 	84.071 	66.629 	1.298 	67.577 	49.641 	1.029 	14.334 
ADAMTS12	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.346 	8.149 	6.170 	1.008 	1.000 	1.000 	1.000 	1.000 	17.588 	6.576 	1.000 	71.376 	11.001 	27.690 	1.867 
ADAMTS5	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	100.323 	2.766 	1.937 	1.000 	1.000 	3.478 	1.000 	1.000 	11.311 	36.605 	1.000 	2.895 	7.341 	1.000 	3.845 
ADAMTSL1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	4.051 	1.000 	108.344 	16.717 	41.971 	1.000 	1.000 	1.000 	2.748 	9.478 	26.170 	1.006 	1.160 	3.540 	80.087 	23.914 	3.152 
ADD2	1.000 	1.000 	5.466 	1.903 	1.000 	6.206 	1.000 	1.250 	1.000 	1.000 	1.000 	1.000 	35.012 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.629 	1.000 	1.000 	1.270 	1.000 	1.000 	4.123 	1.415 
ADH1B	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.011 	21.926 	48.761 	1.000 	1.000 	44.980 	1.000 	1.000 	1.000 	2119.621 	1.000 	1.000 	150.880 	1.000 	1.000 
ADIPOQ	1.005 	1.000 	1.000 	1.000 	1.000 	1.000 	1.032 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.642 	1.000 	1.000 	1.000 	656.796 	1.000 	1.000 	1.000 	1.000 	1.000 
ADPRHL1	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.057 	1.000 	1.000 	1.000 	1.000 	138.660 	1.000 	1.080 	1.461 	1.000 	4.783 	1.934 	1.159 	1.057 	1.000 
ADRA2B	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	5.282 	1.000 	1.000 	1.000 	1.000 	10.742 	58.478 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 
ADTRP	1.000 	1.000 	1.000 	84.750 	1.000 	1.000 	1.000 	1.000 	1.000 	1.000 	3.966 	2.749 	1.000 	1.000 	1.000 	1.549 	3.901 	1.000 	1.000 	1.000 	1.000 	1.022 	1.037 	1.000 	1.000 	23.216 	1.000 	1.000 	1.000 	1.000 	1.000 	1.210 	1.127 	1.000 
AFAP1L1	1.547 	1.001 	1.013 	1.001 	1.003 	1.006 	1.870 	1.017 	3.924 	1.013 	6.455 	1.003 	1.076 	1.000 	1.000 	25.068 	128.237 	60.988 	1.005 	1.000 	3.350 	1.371 	4.582 	3.225 	17.583 	4.555 	49.847 	8.301 	17.407 	1.000 	2.090 	4.150 	1.541 	3.552 
AGRN	2.704 	1.323 	1.329 	1.272 	1.138 	1.525 	1.960 	1.392 	2.120 	1.335 	3.616 	1.864 	1.954 	1.177 	4.815 	8.184 	3.639 	31.515 	1.692 	5.542 	20.371 	18.343 	108.600 	28.371 	1.485 	141.083 	41.025 	9.120 	2.684 	1.037 	51.853 	4.738 	101.578 	314.000 
AHSP	2.255 	1.372 	4.233 	1.014 	1.034 	1.059 	3.148 	1.158 	3.964 	1.119 	1.000 	1.009 	1663.761 	7.517 	1.272 	1.005 	1.007 	1.000 	1.053 	1.000 	1.000 	1.000 	1.000 	1.003 	1.047 	1.000 	1.001 	1.000 	1.000 	1.009 	1.004 	1.005 	1.000 	1.000 
AIF1	261.628 	314.686 	232.875 	37.471 	1.019 	1.429 	366.309 	216.891 	274.514 	167.741 	229.328 	138.084 	24.022 	98.230 	146.924 	38.455 	7.857 	1.000 	1.030 	1.000 	1.000 	1.000 	1.000 	1.001 	2.094 	1.000 	1.000 	1.000 	33.498 	2.277 	1.002 	1.002 	1.000 	1.000 
